South_Ferry Rector_Street
45th_Street 36th_Street
36th_Street 25th_Street
25th_Street Prospect_Avenue
Prospect_Avenue 9th_Street
9th_Street Union_Street
Union_Street Atlantic_Avenue–Barclays_Center
Atlantic_Avenue–Barclays_Center DeKalb_Avenue
DeKalb_Avenue Jay_Street–MetroTech
Jay_Street–MetroTech Borough_Hall
Borough_Hall Whitehall_Street–South_Ferry
Whitehall_Street–South_Ferry Rector_Street
Rector_Street Cortlandt_Street
Cortlandt_Street City_Hall
City_Hall Canal_Street
Canal_Street Prince_Street
Prince_Street 8th_Street–NYU
8th_Street–NYU 14th_Street–Union_Square
14th_Street–Union_Square 23rd_Street
23rd_Street 28th_Street
28th_Street 34th_Street–Herald_Square
34th_Street–Herald_Square 42nd_Street–Times_Square
42nd_Street–Times_Square 49th_Street
49th_Street 57th_Street–7th_Avenue
57th_Street–7th_Avenue 5th_Avenue–59th_Street
5th_Avenue–59th_Street 59th_Street–Lexington_Avenue
59th_Street–Lexington_Avenue Queens_Plaza
Queens_Plaza 36th_Street
36th_Street Steinway_Street
Steinway_Street 46th_Street
46th_Street Northern_Boulevard
Northern_Boulevard 65th_Street
65th_Street 74th_Street–Broadway
74th_Street–Broadway Elmhurst_Avenue
Elmhurst_Avenue Grand_Avenue–Newtown
Grand_Avenue–Newtown Woodhaven_Boulevard
Woodhaven_Boulevard 63rd_Drive–Rego_Park
63rd_Drive–Rego_Park 67th_Avenue
67th_Avenue Forest_Hills–71st_Avenue
42nd_Street–Grand_Central 42nd_Street_–Times_Square
Prospect_Park Botanic_Garden
Botanic_Garden Park_Place
Park_Place Franklin_Avenue
Rockaway_Park-Beach_116th_Street Beach_105th_Street
Beach_105th_Street Beach_98th_Street
Beach_98th_Street Beach_90th_Street
Beach_90th_Street Broad_Channel
Whitehall_Street–South_Ferry Rector_Street
Rector_Street Cortlandt_Street
Cortlandt_Street City_Hall
City_Hall Canal_Street
Canal_Street Prince_Street
Prince_Street 8th_Street–NYU
8th_Street–NYU 14th_Street–Union_Square
14th_Street–Union_Square 23rd_Street
23rd_Street 28th_Street
28th_Street 34th_Street–Herald_Square
34th_Street–Herald_Square 42nd_Street–Times_Square
42nd_Street–Times_Square 49th_Street
49th_Street 57th_Street–7th_Avenue
